
running 1 test
step(A) =   78, err =  4.257697261781131E-01, h_new =  4.415090795345251E-03, n_yes =  60, n_no =   0, h*lambda =  3.300112913642135E+00
step(A) =   79, err =  4.254479431181811E-01, h_new =  4.440636731223260E-03, n_yes =  61, n_no =   0, h*lambda =  3.300181318849340E+00
step(A) =   80, err =  4.252609652718581E-01, h_new =  4.466529173764054E-03, n_yes =  62, n_no =   0, h*lambda =  3.300297748188524E+00
step(A) =   81, err =  4.251299620505466E-01, h_new =  4.492728906892135E-03, n_yes =  63, n_no =   0, h*lambda =  3.300306923355792E+00
step(A) =   82, err =  4.249426797540590E-01, h_new =  4.519365146406180E-03, n_yes =  64, n_no =   0, h*lambda =  3.300170619891046E+00
step(A) =   83, err =  4.246496712819245E-01, h_new =  4.546612282542944E-03, n_yes =  65, n_no =   0, h*lambda =  3.299973567618228E+00
step(A) =   84, err =  4.242902785324790E-01, h_new =  4.574555891799327E-03, n_yes =  66, n_no =   0, h*lambda =  3.299830092028462E+00
step(A) =   85, err =  4.239422960828684E-01, h_new =  4.603157382739773E-03, n_yes =  67, n_no =   0, h*lambda =  3.299786765752271E+00
step(A) =   86, err =  4.236516104086405E-01, h_new =  4.632325801040668E-03, n_yes =  68, n_no =   0, h*lambda =  3.299799497145615E+00
step(A) =   87, err =  4.234021294817628E-01, h_new =  4.662017979380222E-03, n_yes =  69, n_no =   0, h*lambda =  3.299787665247157E+00
step(A) =   88, err =  4.231413596534431E-01, h_new =  4.692281342522793E-03, n_yes =  70, n_no =   0, h*lambda =  3.299706001124972E+00
step(A) =   89, err =  4.228295479463902E-01, h_new =  4.723216647529233E-03, n_yes =  71, n_no =   0, h*lambda =  3.299573225258155E+00
step(A) =   90, err =  4.224683252337695E-01, h_new =  4.754906518256581E-03, n_yes =  72, n_no =   0, h*lambda =  3.299443688643050E+00
step(A) =   91, err =  4.220903214026409E-01, h_new =  4.787373833359888E-03, n_yes =  73, n_no =   0, h*lambda =  3.299356575427028E+00
step(A) =   92, err =  4.217262527483693E-01, h_new =  4.820597360350585E-03, n_yes =  74, n_no =   0, h*lambda =  3.299307852672099E+00
step(A) =   93, err =  4.213804668434238E-01, h_new =  4.854560809515665E-03, n_yes =  75, n_no =   0, h*lambda =  3.299262534479615E+00
step(A) =   94, err =  4.210326121938168E-01, h_new =  4.889289530465367E-03, n_yes =  76, n_no =   0, h*lambda =  3.299189029322131E+00
step(A) =   95, err =  4.206585781344810E-01, h_new =  4.924848070602712E-03, n_yes =  77, n_no =   0, h*lambda =  3.299083582427861E+00
step(A) =   96, err =  4.202499803472342E-01, h_new =  4.961308437665486E-03, n_yes =  78, n_no =   0, h*lambda =  3.298967423755382E+00
step(A) =   97, err =  4.198169838136894E-01, h_new =  4.998720385114275E-03, n_yes =  79, n_no =   0, h*lambda =  3.298864619068732E+00
step(A) =   98, err =  4.193757250575300E-01, h_new =  5.037107212994051E-03, n_yes =  80, n_no =   0, h*lambda =  3.298782313285313E+00
step(A) =   99, err =  4.189335980658653E-01, h_new =  5.076485536102176E-03, n_yes =  81, n_no =   0, h*lambda =  3.298708596718419E+00
step(A) =  100, err =  4.184845596159786E-01, h_new =  5.116888642345360E-03, n_yes =  82, n_no =   0, h*lambda =  3.298625996385327E+00
step(A) =  101, err =  4.180160636406856E-01, h_new =  5.158374245905641E-03, n_yes =  83, n_no =   0, h*lambda =  3.298526576377524E+00
step(A) =  102, err =  4.175196485353772E-01, h_new =  5.201013723191679E-03, n_yes =  84, n_no =   0, h*lambda =  3.298416291140438E+00
step(A) =  103, err =  4.169959803365154E-01, h_new =  5.244875313946104E-03, n_yes =  85, n_no =   0, h*lambda =  3.298307381255416E+00
step(A) =  104, err =  4.164515043329704E-01, h_new =  5.290016156004201E-03, n_yes =  86, n_no =   0, h*lambda =  3.298207372745942E+00
step(A) =  105, err =  4.158911347361391E-01, h_new =  5.336488066005023E-03, n_yes =  87, n_no =   0, h*lambda =  3.298114148691819E+00
step(A) =  106, err =  4.153136252593595E-01, h_new =  5.384350066412030E-03, n_yes =  88, n_no =   0, h*lambda =  3.298019744862072E+00
step(A) =  107, err =  4.147127240190538E-01, h_new =  5.433676684227512E-03, n_yes =  89, n_no =   0, h*lambda =  3.297918025573869E+00
step(A) =  108, err =  4.140819615591668E-01, h_new =  5.484556618665201E-03, n_yes =  90, n_no =   0, h*lambda =  3.297809325718020E+00
step(A) =  109, err =  4.134184881004994E-01, h_new =  5.537085173716759E-03, n_yes =  91, n_no =   0, h*lambda =  3.297699007138310E+00
step(A) =  110, err =  4.127230989644324E-01, h_new =  5.591358225306501E-03, n_yes =  92, n_no =   0, h*lambda =  3.297592357068396E+00
step(A) =  111, err =  4.119972187559250E-01, h_new =  5.647472821223226E-03, n_yes =  93, n_no =   0, h*lambda =  3.297490657400588E+00
step(A) =  112, err =  4.112398654527655E-01, h_new =  5.705533306168352E-03, n_yes =  94, n_no =   0, h*lambda =  3.297391313376692E+00
step(A) =  113, err =  4.104469888420159E-01, h_new =  5.765657764230915E-03, n_yes =  95, n_no =   0, h*lambda =  3.297291101570885E+00
step(A) =  114, err =  4.096131826642849E-01, h_new =  5.827980436381076E-03, n_yes =  96, n_no =   0, h*lambda =  3.297189317787030E+00
step(A) =  115, err =  4.087338827099073E-01, h_new =  5.892649949216841E-03, n_yes =  97, n_no =   0, h*lambda =  3.297088360975718E+00
step(A) =  116, err =  4.078061726986708E-01, h_new =  5.959826715838511E-03, n_yes =  98, n_no =   0, h*lambda =  3.296991843787721E+00
