
running dopri5.f test
step(A) =   74, err =  4.266619080992640E-01, h_new =  4.318990665845511E-03, n_yes =  56, n_no =   0, h*lambda =  3.300876408473815E+00
step(A) =   75, err =  4.266887927143362E-01, h_new =  4.342193967278273E-03, n_yes =  57, n_no =   0, h*lambda =  3.300840114993769E+00
step(A) =   76, err =  4.265362055841218E-01, h_new =  4.365798379295038E-03, n_yes =  58, n_no =   0, h*lambda =  3.300548680184669E+00
step(A) =   77, err =  4.261836256260697E-01, h_new =  4.390085430569889E-03, n_yes =  59, n_no =   0, h*lambda =  3.300239345765668E+00
step(A) =   78, err =  4.257697261779472E-01, h_new =  4.415090795345218E-03, n_yes =  60, n_no =   0, h*lambda =  3.300112913642361E+00
step(A) =   79, err =  4.254479431183302E-01, h_new =  4.440636731222893E-03, n_yes =  61, n_no =   0, h*lambda =  3.300181318849538E+00
step(A) =   80, err =  4.252609652723980E-01, h_new =  4.466529173762782E-03, n_yes =  62, n_no =   0, h*lambda =  3.300297748188529E+00
step(A) =   81, err =  4.251299620507933E-01, h_new =  4.492728906890641E-03, n_yes =  63, n_no =   0, h*lambda =  3.300306923355136E+00
step(A) =   82, err =  4.249426797540556E-01, h_new =  4.519365146404788E-03, n_yes =  64, n_no =   0, h*lambda =  3.300170619890225E+00
step(A) =   83, err =  4.246496712810864E-01, h_new =  4.546612282543069E-03, n_yes =  65, n_no =   0, h*lambda =  3.299973567617452E+00
step(A) =   84, err =  4.242902785325018E-01, h_new =  4.574555891799050E-03, n_yes =  66, n_no =   0, h*lambda =  3.299830092028819E+00
step(A) =   85, err =  4.239422960826399E-01, h_new =  4.603157382739926E-03, n_yes =  67, n_no =   0, h*lambda =  3.299786765752348E+00
step(A) =   86, err =  4.236516104084949E-01, h_new =  4.632325801040992E-03, n_yes =  68, n_no =   0, h*lambda =  3.299799497146005E+00
step(A) =   87, err =  4.234021294822136E-01, h_new =  4.662017979379640E-03, n_yes =  69, n_no =   0, h*lambda =  3.299787665247680E+00
step(A) =   88, err =  4.231413596539532E-01, h_new =  4.692281342521445E-03, n_yes =  70, n_no =   0, h*lambda =  3.299706001124871E+00
step(A) =   89, err =  4.228295479462742E-01, h_new =  4.723216647528324E-03, n_yes =  71, n_no =   0, h*lambda =  3.299573225257547E+00
step(A) =   90, err =  4.224683252333351E-01, h_new =  4.754906518256444E-03, n_yes =  72, n_no =   0, h*lambda =  3.299443688642741E+00
step(A) =   91, err =  4.220903214023303E-01, h_new =  4.787373833360153E-03, n_yes =  73, n_no =   0, h*lambda =  3.299356575427231E+00
step(A) =   92, err =  4.217262527486801E-01, h_new =  4.820597360350105E-03, n_yes =  74, n_no =   0, h*lambda =  3.299307852672613E+00
